Governorate,District,Camp long name,camp,# target surveys,# surveys conducted,Difference surveys,Confidence level,Error margin,population,Governorate weight,National weight,,
Anbar,al.falluja,Amriyat Al Fallujah,aaf,61,68,-3,90,10,3628,1.480798285,2.058005436,,
Anbar,al.ramadi,Habbaniya Tourist City (Al Qasir),htc,59,66,-3,90,10,1200,0.50463207,0.701334919,,
Baghdad,al.kadhmiyah,Al-Ahal Shooting,Shooting_Camp_/_Al_Ahel,48,50,-2,90,10,175,1.130208333,0.135006972,,
Baghdad,al.risafa,Zayona,zayona,46,43,-3,90,10,113,0.848594961,0.101367361,,
Diyala,khanaqin,Alwand 1,Alwand_1,66,64,-2,90,10,649,1.697629118,0.391158592,,
Diyala,khanaqin,Alwand 2,Alwand_2,55,63,7,90,10,227,0.603202872,0.138986769,,
Diyala,khanaqin,Qoratu,qoratu,55,61,4,90,10,247,0.677868123,0.156190736,,
Dohuk,sumail,Bajed Kandala,Bajed_Kandala,70,70,0,90,10,2052,0.879555708,1.13075227,,
Dohuk,zakho,Bersive 1,Bersive_1,69,69,0,90,10,1461,0.635309223,0.816750252,,
Dohuk,zakho,Bersive 2,Bersive_2,70,70,0,90,10,1737,0.744536192,0.957171878,,
Dohuk,zakho,Chamishku,chamishku,71,71,0,90,10,5041,2.130307929,2.738712857,,
Dohuk,zakho,Darkar,darkar,66,65,-1,90,10,724,0.334202154,0.429648561,,
Dohuk,al.amadiya,Dawudiya,Dawadia,66,65,-1,90,10,634,0.292657687,0.376239209,,
Dohuk,sumail,Kabarto 1,Kabarto_1,70,70,0,90,10,2562,1.098158735,1.411787191,,
Dohuk,sumail,Kabarto 1,Kabarto_2,70,70,0,90,10,2 598,,,,
Dohuk,sumail,Khanke,khanke,71,71,0,90,10,2836,1.198483096,1.54076367,,
Dohuk,sumail,Rwanga Community,Rwanga_Community,70,70,0,90,10,2619,1.122590838,1.443196976,,
Dohuk,sumail,Shariya,shariya,71,71,0,90,10,3099,1.309625922,1.683648313,,
Erbil,erbil,Baharka,baharka,68,69,1,90,10,932,0.863096833,0.521020695,,
Erbil,makhmour,Debaga 1,Debaga_1,70,71,1,90,10,1852,1.666768695,1.006168659,,
Erbil,erbil,Harshm,harshm,59,57,-2,90,10,299,0.335188441,0.202341276,,
Kerbala,al.hindiya,Al Kawthar,Al_Kawthar_Camp,45,47,0,90,10,124,1,0.101768173,,
Kirkuk,kirkuk,Laylan 2,Laylan_2,62,63,0,90,10,504,0.735545024,0.308587364,,
Kirkuk,kirkuk,Laylan IDP,Laylan_IDP,68,71,3,90,10,1109,1.436125759,0.602505963,,
Kirkuk,daquq,Yahyawa,Yahyawa,63,60,-3,90,10,497,0.761595577,0.3195165,,
Ninewa,al.hamdaniya,As Salamyiah (1-2),As_Salamyiah,70,71,0,90,10,5214,2.142837811,2.832701614,,
Ninewa,al.shikhan,Essian,essian,71,70,-1,90,10,2758,1.149669063,1.519792769,,
Ninewa,al.mosul,Haj Ali,Haj_Ali,70,67,-3,90,10,2613,1.137997296,1.5043634,,
Ninewa,al.mosul,Hamam Al Alil 1,Hamam_Al_Alil_1,71,67,-4,90,10,3794,1.652338974,2.184291902,,
Ninewa,al.mosul,Hamam Al Alil 1,Hamam_Al_Alil_2,71,70,0,90,10,4 425,,,,
Ninewa,al.hamdaniya,Hasansham U3,Hasansham_U3,69,68,-1,90,10,1251,0.536815466,0.709637486,,
Ninewa,al.hamdaniya,Hasansham U2,Hasansham_U2,68,67,-1,90,10,953,0.415044555,0.548663728,,
Ninewa,al.hamdaniya,Khazer M1,Khazer_M1,69,69,0,90,10,1348,0.570055873,0.753579288,,
Ninewa,aqra,Mamilian,mamilian,54,54,0,90,10,203,0.109692997,0.145007488,,
Ninewa,al.shikhan,Mamrashan,mamrashan,70,69,-1,90,10,1735,0.733714347,0.969925864,,
Ninewa,al.mosul,Qayyarah Jadâ€™ah 1-2,Qayyarah_Jad'ah,70,70,0,90,10,4232,,,,
Ninewa,al.shikhan,Sheikhan,sheikhan,67,67,0,90,10,844,0.367573562,0.485909954,,
Salah al-Din,tikrit,Al Alam,Al_Alam_all,58,60,0,90,10,354,0.968656716,0.227583181,,
Salah al-Din,al.shirqat,Basateen Al Sheuokh,Basateen_Al_Sheuokh,59,54,-5,90,10,299,0.909065782,0.213582458,,
Salah al-Din,tikrit,Al Karama,karamah,59,62,0,90,10,419,1.10953298,0.260681664,,
Sulaymaniyah,al.sulaymaniyah,Arbat IDP,Arbat_IDP,60,58,-2,90,10,355,0.379530953,0.236095936,,
Sulaymaniyah,al.sulaymaniyah,Ashti IDP,Ashti_IDP,70,69,-1,90,10,2375,2.134328997,1.327708315,,
Sulaymaniyah,kalar,Tazade,tazade,59,62,3,90,10,318,0.318040386,0.197844318,,
Sulaymaniyah,kalar,AlAmal_Nassir_WaSalam_Caravans,AlAmal_Nassir_WaSalam_Caravans,59,62,3,90,10,318,,,,
